full_name,fighter_id,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url,weight_class,total_fights,win_rate
Tom Lawlor,2096,Filthy,182.88,205.0,187.96,Southpaw,1983-05-15,10,6,0,1.0,http://ufcstats.com/fighter-details/4d44f37107f01b9b,Light Heavyweight,16,0.625
Justin Lawrence,2095,The American Kidd,172.72,145.0,170.18,Orthodox,1990-05-15,10,4,0,,http://ufcstats.com/fighter-details/879f6cae48d25baa,Featherweight,14,0.7142857142857143
Ronnie Lawrence,2093,The Heat,172.72,135.0,172.72,Switch,1992-06-13,8,2,0,1.0,http://ufcstats.com/fighter-details/e7e01e266a9d4342,Bantamweight,10,0.8
Jimmy Lawson,2091,Greedy,182.88,265.0,195.58,Orthodox,1991-11-13,4,2,0,,http://ufcstats.com/fighter-details/e43eefb10d440cb0,Heavyweight,6,0.6666666666666666
Valmir Lazaro,2090,Bidu,182.88,155.0,185.42,Orthodox,1985-08-15,15,5,0,,http://ufcstats.com/fighter-details/777dea713da2441d,Lightweight,20,0.75
Mounir Lazzez,2088,The Sniper,185.42,170.0,193.04,Orthodox,1987-11-16,11,3,0,,http://ufcstats.com/fighter-details/49ee5024966efc0d,Welterweight,14,0.7857142857142857
Jordan Leavitt,2085,The Monkey King,175.26,155.0,180.34,Southpaw,1995-06-02,11,2,0,,http://ufcstats.com/fighter-details/ac026518a9b4dc0f,Lightweight,13,0.8461538461538461
Chris Leben,2083,The Crippler,180.34,185.0,185.42,Southpaw,1980-07-21,22,11,0,,http://ufcstats.com/fighter-details/d43a048a880efdff,Middleweight,33,0.6666666666666666
Mickael Lebout,2082,Ragnar,180.34,155.0,185.42,Orthodox,1987-08-16,16,7,1,1.0,http://ufcstats.com/fighter-details/c575ab451e3c5b1d,Lightweight,24,0.6666666666666666
Justin Ledet,2080,El Blanco,193.04,205.0,203.2,Orthodox,1988-09-28,9,4,0,1.0,http://ufcstats.com/fighter-details/ba1e6cb3d43f7430,Light Heavyweight,13,0.6923076923076923
Kevin Lee,2070,The Motown Phenom,175.26,170.0,195.58,Orthodox,1992-09-04,18,8,0,,http://ufcstats.com/fighter-details/ee9ebceabfd16fa7,Welterweight,26,0.6923076923076923
Andrea Lee,2068,KGB,167.64,125.0,175.26,Orthodox,1989-02-11,13,8,0,,http://ufcstats.com/fighter-details/05fa626cb33d15b8,Flyweight,21,0.6190476190476191
JeongYeong Lee,2067,Korean Tiger,177.8,145.0,185.42,Orthodox,1995-11-13,10,1,0,,http://ufcstats.com/fighter-details/d008d785f6347dc2,Featherweight,11,0.9090909090909091
JungHyun Lee,2066,The Phenom,165.1,125.0,165.1,Orthodox,2002-09-10,8,1,0,,http://ufcstats.com/fighter-details/b6033505c245e28b,Flyweight,9,0.8888888888888888
Cheyden Leialoha,2062,Steadfast,172.72,135.0,185.42,Orthodox,1994-03-15,6,0,0,,http://ufcstats.com/fighter-details/98cbbc06074c68a4,Bantamweight,6,1.0
Jesse Lennox,2054,The Ox,175.26,170.0,182.88,Orthodox,1982-03-10,14,4,0,,http://ufcstats.com/fighter-details/3ae10ac4df3df05c,Welterweight,18,0.7777777777777778
Nik Lentz,2052,The Carny,172.72,145.0,172.72,Orthodox,1984-08-13,30,12,2,1.0,http://ufcstats.com/fighter-details/6fb1ba67bef41b37,Featherweight,44,0.6818181818181818
Victoria Leonardo,2050,Fury,165.1,125.0,162.56,Orthodox,1990-02-16,9,6,0,,http://ufcstats.com/fighter-details/9dedfdd91070ddd8,Flyweight,15,0.6
Valerie Letourneau,2042,Trouble,170.18,115.0,172.72,Orthodox,1983-04-29,8,6,0,,http://ufcstats.com/fighter-details/46a2f24feb258ae0,Flyweight,14,0.5714285714285714
Leah Letson,2041,Nidas,170.18,145.0,180.34,Southpaw,1992-08-21,5,3,0,,http://ufcstats.com/fighter-details/8cb78f3a6c2a08f7,Featherweight,8,0.625
Marcus LeVesseur,2039,The Prospect,175.26,155.0,177.8,Southpaw,1982-07-17,22,7,0,,http://ufcstats.com/fighter-details/182f2b78582de3d8,Lightweight,29,0.7586206896551724
Natan Levy,2036,Lethal,175.26,155.0,180.34,Southpaw,1991-09-30,8,1,0,,http://ufcstats.com/fighter-details/a29db9cd4f9ccea5,Lightweight,9,0.8888888888888888
Derrick Lewis,2034,The Black Beast,190.5,260.0,200.66,Orthodox,1985-02-07,27,11,0,1.0,http://ufcstats.com/fighter-details/d3df1add9d9a7efb,Heavyweight,38,0.7105263157894737
Malik Lewis,2031,Hard Knock,182.88,155.0,190.5,Orthodox,1996-03-04,6,2,0,,http://ufcstats.com/fighter-details/f60dbe6e05489c4f,Lightweight,8,0.75
Li Jingliang,2029,The Leech,182.88,170.0,180.34,Orthodox,1988-03-20,19,8,0,,http://ufcstats.com/fighter-details/e64b96c07d7ce999,Welterweight,27,0.7037037037037037
Liang Na,2028,The Dragon Girl,165.1,125.0,170.18,Orthodox,1996-07-27,19,7,0,,http://ufcstats.com/fighter-details/ec0dcceace7d25a3,Flyweight,26,0.7307692307692307
Chuck Liddell,2026,The Iceman,187.96,205.0,193.04,Orthodox,1969-12-17,21,8,0,,http://ufcstats.com/fighter-details/a390eb8a9b2df298,Light Heavyweight,29,0.7241379310344828
Rodrigo Lidio,2025,Dynamis,180.34,155.0,185.42,Orthodox,1989-07-07,12,3,0,,http://ufcstats.com/fighter-details/11b5a809c3120e27,Lightweight,15,0.8
Hyun Gyu Lim,2018,The Ace,190.5,170.0,195.58,Orthodox,1985-01-16,13,7,1,,http://ufcstats.com/fighter-details/203c957eac95dd87,Welterweight,21,0.6190476190476191
Juliana Lima,2017,Ju Thai,165.1,115.0,165.1,Orthodox,1982-03-15,9,5,0,,http://ufcstats.com/fighter-details/75a6a390fd5dca46,Flyweight,14,0.6428571428571429
Emiliano Linares,2011,Golden Bull,172.72,145.0,182.88,Orthodox,1997-04-21,8,2,0,,http://ufcstats.com/fighter-details/a4ef92274a45143d,Featherweight,10,0.8
Matt Lindland,2010,The Law,182.88,185.0,187.96,Southpaw,1970-05-17,22,9,0,,http://ufcstats.com/fighter-details/0e041d43a47d2e4b,Middleweight,31,0.7096774193548387
John Lineker,2008,Hands of Stone,160.02,135.0,170.18,Orthodox,1990-06-12,31,9,0,,http://ufcstats.com/fighter-details/c268b2cfebccf652,Bantamweight,40,0.775
Austin Lingo,2007,Lights Out,177.8,145.0,177.8,Orthodox,1994-07-10,9,3,0,,http://ufcstats.com/fighter-details/305d73ede05e31ad,Featherweight,12,0.75
Philipe Lins,2005,Monstro,187.96,205.0,198.12,Orthodox,1985-08-17,17,5,0,,http://ufcstats.com/fighter-details/53c943c873cffe90,Light Heavyweight,22,0.7727272727272727
Ariane Lipski,2004,Queen of Violence,167.64,125.0,170.18,Orthodox,1994-01-26,16,8,0,,http://ufcstats.com/fighter-details/6551c64fbcd1a467,Flyweight,24,0.6666666666666666
Tainara Lisboa,2003,Thai Panther,170.18,135.0,170.18,Orthodox,1991-03-02,6,2,0,,http://ufcstats.com/fighter-details/2c5f5749569eef66,Bantamweight,8,0.75
Dean Lister,2002,The Boogeyman,185.42,185.0,190.5,Orthodox,1976-02-13,13,7,0,,http://ufcstats.com/fighter-details/68c6cd5287b473a7,Middleweight,20,0.65
James Llontop,2000,Goku,182.88,155.0,185.42,Orthodox,1999-08-02,14,2,0,,http://ufcstats.com/fighter-details/93b2b7caa457cbea,Lightweight,16,0.875
Artem Lobov,1996,The Russian Hammer,175.26,145.0,165.1,Southpaw,1986-08-11,13,15,1,1.0,http://ufcstats.com/fighter-details/02f2a9702ba3d167,Featherweight,29,0.4482758620689655
Christian Lohsen,1993,Hollywood,187.96,155.0,195.58,Southpaw,1995-01-24,4,2,0,,http://ufcstats.com/fighter-details/4ab36d70d1b28b58,Lightweight,6,0.6666666666666666
David Loiseau,1992,The Crow,182.88,185.0,193.04,Orthodox,1979-12-17,23,11,0,,http://ufcstats.com/fighter-details/22e47b53e4ceb27c,Middleweight,34,0.6764705882352942
Michael Lombardo,1990,The Don,182.88,170.0,182.88,Orthodox,1990-04-03,11,2,0,1.0,http://ufcstats.com/fighter-details/6d6b9a6cb063b60d,Welterweight,13,0.8461538461538461
Ange Loosa,1986,The Last Ninja,177.8,170.0,187.96,Orthodox,1993-03-18,10,3,0,,http://ufcstats.com/fighter-details/1497e735d9f2560a,Welterweight,13,0.7692307692307693
Bruno Lopes,1982,Brunao,187.96,205.0,190.5,Orthodox,1993-04-24,11,1,0,,http://ufcstats.com/fighter-details/0abcf6bc47191219,Light Heavyweight,12,0.9166666666666666
Benito Lopez,1975,Golden Boy,177.8,135.0,185.42,Switch,1994-04-06,10,2,0,,http://ufcstats.com/fighter-details/773f7feacf96153e,Bantamweight,12,0.8333333333333334
Caolan Loughran,1971,The Don,167.64,135.0,172.72,Orthodox,1996-05-18,8,1,0,,http://ufcstats.com/fighter-details/42ac4020cba261ad,Bantamweight,9,0.8888888888888888
Lu Kai,1964,The Last Gladiator,175.26,145.0,175.26,Orthodox,1994-03-01,8,5,0,1.0,http://ufcstats.com/fighter-details/a2d23e684b3db732,Featherweight,13,0.6153846153846154
Stephanie Luciano,1959,Rondinha,167.64,115.0,165.1,Orthodox,1999-12-16,5,1,1,,http://ufcstats.com/fighter-details/1b35af4d1529adf6,Flyweight,7,0.7142857142857143
Duane Ludwig,1957,Bang,177.8,170.0,177.8,Orthodox,1978-08-04,21,14,0,,http://ufcstats.com/fighter-details/84ac950d4c1722dd,Welterweight,35,0.6
Dalcha Lungiambula,1955,Champion,172.72,185.0,193.04,Orthodox,1987-07-31,11,6,0,,http://ufcstats.com/fighter-details/ce632027bf2a871b,Middleweight,17,0.6470588235294118
Vicente Luque,1953,The Silent Assassin,180.34,170.0,190.5,Orthodox,1991-11-27,22,9,1,,http://ufcstats.com/fighter-details/6d4b63c767106d3a,Welterweight,32,0.6875
Travis Lutter,1951,The Serial Killer,180.34,185.0,190.5,Orthodox,1973-05-12,10,6,0,,http://ufcstats.com/fighter-details/622f015c81a9b13a,Middleweight,16,0.625
Tucker Lutz,1950,Top Gun,172.72,145.0,182.88,Orthodox,1994-07-12,12,4,0,,http://ufcstats.com/fighter-details/7832f2f62f04178f,Featherweight,16,0.75
Chris Lytle,1946,Lights Out,180.34,170.0,172.72,Orthodox,1974-08-18,31,18,5,,http://ufcstats.com/fighter-details/91acd6910b802a9e,Welterweight,54,0.5740740740740741
Dong Hyun Ma,1945,Maestro,180.34,155.0,177.8,Orthodox,1988-09-09,16,11,3,,http://ufcstats.com/fighter-details/98a6b2361045898f,Lightweight,30,0.5333333333333333
William Macario,1943,Patolino,180.34,170.0,190.5,Orthodox,1991-07-01,9,3,0,,http://ufcstats.com/fighter-details/ed74afc8b5b47a61,Welterweight,12,0.75
Jason MacDonald,1942,The Athlete,190.5,185.0,203.2,Orthodox,1975-06-03,25,16,0,,http://ufcstats.com/fighter-details/2be6596a9db33bf5,Middleweight,41,0.6097560975609756
Rob MacDonald,1941,Maximus,190.5,205.0,198.12,Orthodox,1978-09-05,5,4,0,,http://ufcstats.com/fighter-details/f3388d2cf7ab3f64,Light Heavyweight,9,0.5555555555555556
Rory MacDonald,1940,Red King,182.88,170.0,193.04,Orthodox,1989-07-22,19,4,0,,http://ufcstats.com/fighter-details/cbd5d3cdd862e90e,Welterweight,23,0.8260869565217391
Ryan MacDonald,1939,Main Event,180.34,135.0,180.34,Switch,1993-03-18,10,2,0,,http://ufcstats.com/fighter-details/35e1f9984ed64206,Bantamweight,12,0.8333333333333334
Valesca Machado,1936,Tina Black,162.56,115.0,160.02,Orthodox,1996-05-06,8,3,0,1.0,http://ufcstats.com/fighter-details/a1a91dbf41a029c4,Flyweight,11,0.7272727272727273
Caio Machado,1935,Bigfoot,193.04,250.0,198.12,Southpaw,1994-07-20,8,1,1,,http://ufcstats.com/fighter-details/89839250eb25c9c1,Heavyweight,10,0.8
Lyoto Machida,1934,The Dragon,185.42,185.0,187.96,Southpaw,1978-05-30,24,8,0,,http://ufcstats.com/fighter-details/f7a7f7118d4b01b6,Middleweight,32,0.75
Pauline Macias,1931,PITA,162.56,115.0,162.56,Southpaw,1988-06-27,4,1,0,,http://ufcstats.com/fighter-details/e88b83dea18f5d31,Flyweight,5,0.8
Reza Madadi,1930,Mad Dog,180.34,155.0,185.42,Orthodox,1978-06-20,14,6,0,,http://ufcstats.com/fighter-details/e25bcbcdaf6537a1,Lightweight,20,0.7
Don Madge,1929,Magic Man,182.88,155.0,182.88,Southpaw,1990-11-12,9,3,1,,http://ufcstats.com/fighter-details/68c7ad953455c73f,Lightweight,13,0.6923076923076923
Victor Madrigal,1927,Periquito,170.18,135.0,180.34,Orthodox,1990-08-16,15,5,0,,http://ufcstats.com/fighter-details/cc63a5f0089d8ba9,Bantamweight,20,0.75
Mark Madsen,1925,The Olympian,172.72,155.0,182.88,Orthodox,1984-09-23,12,1,0,,http://ufcstats.com/fighter-details/da0995f19b749cfa,Lightweight,13,0.9230769230769231
Leonardo Mafra,1923,Macarrao,177.8,155.0,177.8,Orthodox,1989-04-25,13,4,0,,http://ufcstats.com/fighter-details/8bbc0cfc01bc1ba1,Lightweight,17,0.7647058823529411
Vinny Magalhaes,1922,Pezao,190.5,205.0,190.5,Orthodox,1984-07-02,14,9,0,1.0,http://ufcstats.com/fighter-details/88a9bc81271ccd89,Light Heavyweight,23,0.6086956521739131
Caio Magalhaes,1920,Hellboy,185.42,185.0,185.42,Orthodox,1987-12-14,10,3,0,,http://ufcstats.com/fighter-details/0c5c66ddd1886b83,Middleweight,13,0.7692307692307693
Angela Magana,1916,Your Majesty,154.94,115.0,165.1,Orthodox,1983-08-02,11,9,0,,http://ufcstats.com/fighter-details/bd878a638e0e3be3,Flyweight,20,0.55
Neil Magny,1915,The Haitian Sensation,190.5,170.0,203.2,Orthodox,1987-08-03,28,12,0,,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,Welterweight,40,0.7
Rashid Magomedov,1912,Highlander,175.26,155.0,177.8,Orthodox,1984-11-29,20,2,0,,http://ufcstats.com/fighter-details/7ea1f74cef32f906,Lightweight,22,0.9090909090909091
Ruslan Magomedov,1911,Leopard,190.5,242.0,198.12,Orthodox,1986-11-26,14,1,0,,http://ufcstats.com/fighter-details/369e1ce458ef50a6,Heavyweight,15,0.9333333333333333
John Maguire,1907,The One,175.26,155.0,175.26,Southpaw,1983-05-19,24,9,0,,http://ufcstats.com/fighter-details/1a7745388839e52b,Lightweight,33,0.7272727272727273
Nayara Maia,1899,Capita,165.1,125.0,167.64,Orthodox,1990-07-25,7,1,1,,http://ufcstats.com/fighter-details/03b1b79b34eaf217,Flyweight,9,0.7777777777777778
Levan Makashvili,1897,The Hornet,172.72,145.0,172.72,Orthodox,1989-01-07,15,2,1,,http://ufcstats.com/fighter-details/938ad489fb7a1f31,Featherweight,18,0.8333333333333334
John Makdessi,1896,The Bull,172.72,155.0,172.72,Orthodox,1985-05-03,18,9,0,,http://ufcstats.com/fighter-details/c21a036b4e012f1c,Lightweight,27,0.6666666666666666
Zach Makovsky,1893,Fun Size,162.56,125.0,162.56,Southpaw,1983-04-19,20,8,0,,http://ufcstats.com/fighter-details/57ab4d7c0bc09a30,Flyweight,28,0.7142857142857143
Azat Maksum,1892,Qazaq,170.18,125.0,177.8,Southpaw,1995-02-02,17,0,0,,http://ufcstats.com/fighter-details/7f1bf0c255ec8756,Flyweight,17,1.0
Fabio Maldonado,1890,Caipira de Aco,185.42,205.0,190.5,Orthodox,1980-03-17,23,11,0,,http://ufcstats.com/fighter-details/1fb80f46d3c105d9,Light Heavyweight,34,0.6764705882352942
Jacob Malkoun,1885,Mamba,175.26,185.0,185.42,Orthodox,1995-08-26,7,3,0,,http://ufcstats.com/fighter-details/d4270315cbcf2569,Middleweight,10,0.7
Mike Malott,1884,Proper,185.42,170.0,185.42,Orthodox,1991-11-07,10,1,1,,http://ufcstats.com/fighter-details/dd6103dd7127db1d,Welterweight,12,0.8333333333333334
Nate Maness,1881,Mayhem,177.8,125.0,182.88,Orthodox,1991-06-27,14,3,0,,http://ufcstats.com/fighter-details/6e9f40c706f91f32,Flyweight,17,0.8235294117647058
Marnic Mann,1874,The Sawed-Off Savage,152.4,115.0,162.56,Southpaw,1993-03-05,6,2,0,,http://ufcstats.com/fighter-details/b6203e0492a9336c,Flyweight,8,0.75
Dylan Mantello,1873,The Quiet Man,185.42,155.0,185.42,Orthodox,1992-11-19,7,3,0,,http://ufcstats.com/fighter-details/e192ebb85b68fa9e,Lightweight,10,0.7
Jimi Manuwa,1871,Poster Boy,185.42,205.0,200.66,Orthodox,1980-02-18,17,6,0,,http://ufcstats.com/fighter-details/1e1dbd1cc5a7469e,Light Heavyweight,23,0.7391304347826086
Daniel Marcos,1869,Soncora,170.18,135.0,175.26,Orthodox,1993-03-07,15,0,0,,http://ufcstats.com/fighter-details/850266b3dc4e506e,Bantamweight,15,1.0
Marcos Mariano,1867,Dhalsim,185.42,155.0,193.04,Switch,1986-10-12,6,6,0,,http://ufcstats.com/fighter-details/72e5e5a6edfa8223,Lightweight,12,0.5
Chepe Mariscal,1865,Machine Gun,170.18,145.0,175.26,Orthodox,1992-10-27,15,6,1,,http://ufcstats.com/fighter-details/e0c6edcb5b5d0b90,Featherweight,22,0.6818181818181818
Randa Markos,1862,Quiet Storm,162.56,115.0,160.02,Orthodox,1985-08-10,11,12,1,,http://ufcstats.com/fighter-details/4a57ebb14315b251,Flyweight,24,0.4583333333333333
Nate Marquardt,1860,The Great,182.88,185.0,187.96,Orthodox,1979-04-20,35,19,2,,http://ufcstats.com/fighter-details/a8e6a69796280f17,Middleweight,56,0.625
Julian Marquez,1858,The Cuban Missile Crisis,187.96,185.0,182.88,Orthodox,1990-05-08,9,4,0,,http://ufcstats.com/fighter-details/d0e1b42d41dab603,Middleweight,13,0.6923076923076923
Carmelo Marrero,1857,The Fury,182.88,205.0,185.42,Orthodox,1981-01-26,16,6,0,1.0,http://ufcstats.com/fighter-details/aa03a3ca00ac6827,Light Heavyweight,22,0.7272727272727273
Eliot Marshall,1853,Fire,187.96,205.0,195.58,Orthodox,1980-07-07,10,4,0,,http://ufcstats.com/fighter-details/a08d909a5be6f410,Light Heavyweight,14,0.7142857142857143
Francis Marshall,1850,Fire,175.26,145.0,182.88,Orthodox,1999-03-03,7,2,0,,http://ufcstats.com/fighter-details/5d495dec23d7c68e,Featherweight,9,0.7777777777777778
Jack Marshman,1849,The Hammer,182.88,185.0,185.42,Orthodox,1989-12-19,23,10,0,,http://ufcstats.com/fighter-details/045f25b3a4c08e81,Middleweight,33,0.696969696969697
Danny Martinez,1839,The Gremlin,167.64,125.0,170.18,Orthodox,1985-06-14,21,8,0,,http://ufcstats.com/fighter-details/8a9c6c4301f6d088,Flyweight,29,0.7241379310344828
Henry Martinez,1837,Sicario,170.18,155.0,175.26,Southpaw,1983-08-07,9,4,0,,http://ufcstats.com/fighter-details/76729a829623e266,Lightweight,13,0.6923076923076923
Jonathan Martinez,1836,Dragon,172.72,135.0,177.8,Southpaw,1994-04-20,18,4,0,,http://ufcstats.com/fighter-details/f2477cf43c4975cc,Bantamweight,22,0.8181818181818182
Mana Martinez,1833,ManaBoi,177.8,135.0,177.8,Orthodox,1996-03-25,10,4,0,,http://ufcstats.com/fighter-details/c0386644627a7ee5,Bantamweight,14,0.7142857142857143
Victor Martinez,1832,The Brick,172.72,155.0,177.8,Orthodox,1991-07-17,13,5,0,,http://ufcstats.com/fighter-details/3e708ce33b6b18e6,Lightweight,18,0.7222222222222222
Melissa Martinez,1830,Super Mely,157.48000000000002,115.0,167.64,Southpaw,1997-08-18,7,1,0,,http://ufcstats.com/fighter-details/3f4c3bc822bea45d,Flyweight,8,0.875
Lucas Martins,1827,Mineiro,182.88,145.0,182.88,Southpaw,1988-11-11,19,3,0,,http://ufcstats.com/fighter-details/7413b80dbb0f8f9f,Featherweight,22,0.8636363636363636
Kazuma Maruyama,1823,Gluttony,180.34,155.0,182.88,Orthodox,1992-07-19,11,7,0,,http://ufcstats.com/fighter-details/aa1a873d05acc7eb,Lightweight,18,0.6111111111111112
Mike Massenzio,1822,The Master of Disaster,187.96,185.0,185.42,Southpaw,1982-11-01,13,9,0,,http://ufcstats.com/fighter-details/5b2d7906aa894274,Middleweight,22,0.5909090909090909
Tiffany Masters,1820,Rainbow Renegade,160.02,115.0,165.1,Orthodox,1994-07-31,2,1,0,,http://ufcstats.com/fighter-details/ca743f96dd2063d5,Flyweight,3,0.6666666666666666
Jorge Masvidal,1819,Gamebred,180.34,170.0,187.96,Orthodox,1984-11-12,35,17,0,,http://ufcstats.com/fighter-details/47b9e0e7703a4868,Welterweight,52,0.6730769230769231
Al Matavao,1818,Sweetness,172.72,205.0,170.18,Orthodox,1994-02-23,8,3,0,,http://ufcstats.com/fighter-details/eec3fe66a8b11a26,Light Heavyweight,11,0.7272727272727273
Jake Matthews,1810,The Celtic Kid,180.34,170.0,185.42,Orthodox,1994-08-19,19,6,0,,http://ufcstats.com/fighter-details/a845f0735bc67405,Welterweight,25,0.76
Vladimir Matyushenko,1805,The Janitor,182.88,205.0,187.96,Orthodox,1971-01-04,27,8,0,,http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,Light Heavyweight,35,0.7714285714285715
Miranda Maverick,1804,Fear The,160.02,125.0,165.1,Southpaw,1997-07-01,14,5,0,,http://ufcstats.com/fighter-details/f29a6350c69f4a33,Flyweight,19,0.7368421052631579
Don'Tale Mayes,1799,Lord Kong,198.12,260.0,205.74,Orthodox,1992-01-16,10,5,0,1.0,http://ufcstats.com/fighter-details/1a9480fc288e55d7,Heavyweight,15,0.6666666666666666
Gina Mazany,1796,Danger,167.64,125.0,172.72,Southpaw,1988-08-19,7,6,0,,http://ufcstats.com/fighter-details/016a8d958883167c,Flyweight,13,0.5384615384615384
Sabina Mazo,1795,Colombian Queen,170.18,125.0,177.8,Orthodox,1997-03-25,9,4,0,,http://ufcstats.com/fighter-details/70d2329a92864fdb,Flyweight,13,0.6923076923076923
Ian McCall,1791,Uncle Creepy,165.1,125.0,162.56,Orthodox,1984-05-07,13,5,1,,http://ufcstats.com/fighter-details/701e057d63c124d9,Flyweight,19,0.6842105263157895
Molly McCann,1790,Meatball,162.56,125.0,157.48,Orthodox,1990-05-04,13,6,0,,http://ufcstats.com/fighter-details/51018a31ddf31eb2,Flyweight,19,0.6842105263157895
Charles McCarthy,1789,Chainsaw,177.8,185.0,180.34,Orthodox,1980-08-06,10,5,0,,http://ufcstats.com/fighter-details/da97d6c97d09c030,Middleweight,15,0.6666666666666666
Kris McCray,1787,Savage,182.88,170.0,193.04,Orthodox,1981-09-24,8,5,0,,http://ufcstats.com/fighter-details/baed16f18348908e,Welterweight,13,0.6153846153846154
Tamdan McCrory,1786,The Barncat,193.04,185.0,193.04,Switch,1986-11-05,14,5,0,,http://ufcstats.com/fighter-details/eff47295daf721a6,Middleweight,19,0.7368421052631579
Rob McCullough,1785,Razor,175.26,155.0,175.26,Orthodox,1977-05-26,19,8,0,,http://ufcstats.com/fighter-details/11e3fd7546359fc5,Lightweight,27,0.7037037037037037
Justin McCully,1784,The Insane One,185.42,225.0,185.42,Orthodox,1976-02-18,11,5,2,,http://ufcstats.com/fighter-details/75f871836d41f90f,Heavyweight,18,0.6111111111111112
Robert McDaniel,1783,Bubba,190.5,185.0,190.5,Southpaw,1983-05-03,28,10,0,,http://ufcstats.com/fighter-details/5cafbc97dba2e797,Middleweight,38,0.7368421052631579
Michael McDonald,1780,Mayday,175.26,135.0,177.8,Orthodox,1991-01-15,17,4,0,,http://ufcstats.com/fighter-details/d0314416a7f26527,Bantamweight,21,0.8095238095238095
Drew McFedries,1776,The Massacre,182.88,185.0,182.88,Southpaw,1978-07-27,12,7,0,,http://ufcstats.com/fighter-details/1fd4fbdcc67de844,Middleweight,19,0.631578947368421
Court McGee,1773,The Crusher,180.34,170.0,190.5,Orthodox,1984-12-12,22,12,0,,http://ufcstats.com/fighter-details/523fa774700d7d3f,Welterweight,34,0.6470588235294118
Marcus McGhee,1772,The Maniac,172.72,135.0,175.26,Orthodox,1990-05-07,8,1,0,,http://ufcstats.com/fighter-details/c0ac37a4a1133da9,Bantamweight,9,0.8888888888888888
Conor McGregor,1768,The Notorious,175.26,155.0,187.96,Southpaw,1988-07-14,22,6,0,,http://ufcstats.com/fighter-details/f4c49976c75c5ab2,Lightweight,28,0.7857142857142857
Rhys McKee,1764,Skeletor,187.96,170.0,198.12,Orthodox,1995-09-10,10,5,1,,http://ufcstats.com/fighter-details/f748267c4ab6c127,Welterweight,16,0.625
Cory McKenna,1763,Poppins,160.02,115.0,147.32,Orthodox,1999-07-11,8,2,0,,http://ufcstats.com/fighter-details/3351aa64aa83c4d9,Flyweight,10,0.8
Terrance McKinney,1760,T. Wrecks,177.8,155.0,185.42,Switch,1994-09-15,14,5,0,,http://ufcstats.com/fighter-details/809bd1a871491508,Lightweight,19,0.7368421052631579
Garreth McLellan,1757,Soldier Boy,185.42,185.0,182.88,Southpaw,1982-09-01,13,6,0,,http://ufcstats.com/fighter-details/f215cfbd4ba3c270,Middleweight,19,0.6842105263157895
James McSweeney,1755,The Hammer,193.04,230.0,195.58,Switch,1980-10-24,15,15,0,,http://ufcstats.com/fighter-details/cac08b8685387ca5,Heavyweight,30,0.5
Tim Means,1752,The Dirty Bird,187.96,170.0,190.5,Orthodox,1984-02-20,33,15,1,1.0,http://ufcstats.com/fighter-details/4b47e71384a9522f,Welterweight,49,0.673469387755102
Uros Medic,1747,The Doctor,185.42,170.0,180.34,Southpaw,1993-04-25,9,1,0,,http://ufcstats.com/fighter-details/681399317dbf4701,Welterweight,10,0.9
Jose Medina,1744,Chicho,182.88,205.0,187.96,Orthodox,1991-05-17,11,2,0,,http://ufcstats.com/fighter-details/baa9be02c3e3e038,Light Heavyweight,13,0.8461538461538461
Emil Meek,1743,Valhalla,180.34,170.0,187.96,Switch,1988-08-20,9,5,1,1.0,http://ufcstats.com/fighter-details/103b06d8707895a9,Welterweight,15,0.6
Gerald Meerschaert,1741,GM3,185.42,185.0,195.58,Southpaw,1987-12-18,35,17,0,,http://ufcstats.com/fighter-details/6ac9bc2953c47345,Middleweight,52,0.6730769230769231
Jordan Mein,1737,Young Gun,182.88,170.0,185.42,Orthodox,1989-10-10,31,12,0,,http://ufcstats.com/fighter-details/2aa49b3766a59bcd,Welterweight,43,0.7209302325581395
Gilbert Melendez,1733,El Nino,175.26,145.0,185.42,Orthodox,1982-04-12,22,8,0,,http://ufcstats.com/fighter-details/aa5b4eff51bdc7d1,Featherweight,30,0.7333333333333333
Antonio Mendes,1728,Samurai,190.5,205.0,195.58,Southpaw,1981-04-19,18,13,0,,http://ufcstats.com/fighter-details/3795fca327cbcf23,Light Heavyweight,31,0.5806451612903226
Chad Mendes,1727,Money,167.64,145.0,167.64,Orthodox,1985-05-01,18,5,0,,http://ufcstats.com/fighter-details/b5b684eac99ae0a3,Featherweight,23,0.782608695652174
Augusto Mendes,1726,Tanquinho,167.64,135.0,165.1,Orthodox,1983-03-03,6,2,0,,http://ufcstats.com/fighter-details/3d5b1ce6097dbb49,Bantamweight,8,0.75
Mateus Mendonca,1724,Bocao,167.64,125.0,180.34,Orthodox,1999-01-17,10,1,0,,http://ufcstats.com/fighter-details/48812daf291a4e23,Flyweight,11,0.9090909090909091
Alonzo Menifield,1721,Atomic,182.88,205.0,193.04,Orthodox,1987-10-18,14,3,1,,http://ufcstats.com/fighter-details/a495f599e787614f,Light Heavyweight,18,0.7777777777777778
